# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    4.270000000    2.548016102    2.548016236    0.001477292
    4.280000000    2.469608132    2.469608217    0.001482617
    4.290000000    2.431429378    2.431429398    0.001487959
    4.300000000    2.432280078    2.432280045    0.001493318
    4.310000000    2.454080177    2.454080127    0.001498694
    4.320000000    2.471210373    2.471210347    0.001504087
    4.330000000    2.463768793    2.463768817    0.001509497
    4.340000000    2.423351673    2.423351754    0.001514925
    4.350000000    2.351444998    2.351445129    0.001520370
    4.360000000    2.256777348    2.256777512    0.001525833
    4.370000000    2.152579146    2.152579317    0.001531314
    4.380000000    2.054261318    2.054261469    0.001536812
    4.390000000    1.975859221    1.975859329    0.001542328
    4.400000000    1.926604468    1.926604518    0.001547863
    4.410000000    1.911183964    1.911183955    0.001553415
    4.420000000    1.929078748    1.929078691    0.001558986
    4.430000000    1.970350494    1.970350416    0.001564574
    4.440000000    2.015824074    2.015824008    0.001570182
    4.450000000    2.047624929    2.047624896    0.001575807
    4.460000000    2.059016697    2.059016697    0.001581452
    4.470000000    2.048085706    2.048085744    0.001587115
    4.480000000    2.006755466    2.006755556    0.001592797
    4.490000000    1.927834424    1.927834570    0.001598497
    4.500000000    1.821313209    1.821313384    0.001604217
    4.510000000    1.713204757    1.713204920    0.001609956
    4.520000000    1.628704729    1.628704848    0.001615715
    4.530000000    1.580508679    1.580508744    0.001621492
    4.540000000    1.567598926    1.567598943    0.001627290
    4.550000000    1.578923059    1.578923043    0.001633106
    4.560000000    1.599623842    1.599623813    0.001638943
    4.570000000    1.618099431    1.618099407    0.001644799
    4.580000000    1.629446266    1.629446255    0.001650675
    4.590000000    1.634825384    1.634825384    0.001656572
    4.600000000    1.638635006    1.638635009    0.001662488
    4.610000000    1.643088704    1.643088706    0.001668425
    4.620000000    1.645462477    1.645462485    0.001674382
    4.630000000    1.641508203    1.641508224    0.001680360
    4.640000000    1.627944554    1.627944597    0.001686358
    4.650000000    1.601853704    1.601853770    0.001692377
    4.660000000    1.561613259    1.561613345    0.001698417
    4.670000000    1.508222138    1.508222235    0.001704478
    4.680000000    1.445787295    1.445787387    0.001710560
    4.690000000    1.381969251    1.381969323    0.001716664
